id,name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_rating,crime_level,crime_incidents_count
30884381,Terrific Fully Furnished Hollywood Studio,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,75,128,3.5,2.1413373860182396,658
31085725,Beautiful Studio-Fully Furnished in Hollywood,City of Los Angeles,Hollywood,34.1,-118.35,Private room,73,162,2.0,2.1413373860182396,658
31177722,Hollywood Duplex (Not Apt) w/Patios + Parking,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,130,78,3.375,2.1413373860182396,658
31293013,Spacious Hollywood One Bedroom Suite-Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,101,4.0,2.1413373860182396,658
31591378,Luxury One Bedroom in Hollywood-Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,127,4.0,2.1413373860182396,658
31595654,"Private Oasis In Hollywood, Hot tub/garden/cabana",City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,201,357,3.923,2.1413373860182396,658
31934668,"NEW 1 BR IN HOLLYWOOD. FREE PARKING, POOL & GYM!!",City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,165,282,3.6,2.1413373860182396,658
32166554,Remarkable Hollywood Studio-Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,156,4.0,2.1413373860182396,658
32386112,S 402 - Top floor Hollywood 2 Bedroom + Pool & Gym,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,120,263,3.667,2.1413373860182396,658
32467482,Magnificent Hollywood Studio-Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,175,3.333,2.1413373860182396,658
32987319,One Bedroom Galore-Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,121,3.667,2.1413373860182396,658
33336152,Comfort in Hollywood-Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,144,3.0,2.1413373860182396,658
34085572,Cute Hollywood Studio-Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,102,4.333,2.1413373860182396,658
34289982,STYLISH 1 BD 1 BA IN HEART OF HOLLYWOOD + 3 BEDS,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,145,363,3.667,2.1413373860182396,658
34321592,COZY HOLLYWOOD HOME +3 BEDS & FREE PARKING!,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,165,358,3.609,2.1413373860182396,658
34354194,Studio in Hollywood Hills,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,111,329,3.0,2.1413373860182396,658
34476291,Bright Hollywood One Bedroom-Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,141,3.333,2.1413373860182396,658
34484090,A 208 - Modern 2 Bed 2 Bath Apartment with Parking,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,159,254,3.5,2.1413373860182396,658
34778998,Stunning One Bedroom-Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,113,4.0,2.1413373860182396,658
35317993,Hollywood Loft  free parking close to the blvd,City of Los Angeles,Hollywood Hills West,34.1,-118.35,Entire home/apt,106,46,3.667,2.1413373860182396,658
35906134,Grand Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,163,4.0,2.1413373860182396,658
36076801,Enjoy Hollywood One Bedroom - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,75,67,4.0,2.1413373860182396,658
36414939,Exclusive Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,74,3.0,2.1413373860182396,658
36601076,Private Guesthouse in Great Location,City of Los Angeles,Hollywood Hills West,34.1,-118.35,Entire home/apt,112,21,3.559,2.1413373860182396,658
36663975,Spectacular Hollywood Studio - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,160,3.333,2.1413373860182396,658
