listing_id,avg_rating,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_severity_level,count
273119,3.777777778,Venice,34,-118.46,0,121,309,2.245454545,220
274241,4,Baldwin Hills/Crenshaw,34.02,-118.37,0,184,308,2.315789474,152
281139,3.672131148,Hollywood,34.1,-118.32,0,116,322,2.413073713,719
286866,3.608695652,Atwater Village,34.11,-118.26,0,126,52,2.16,75
288038,4,Arlington Heights,34.05,-118.31,3,35,365,2.23,600
288061,3.5,Harvard Heights,34.05,-118.31,3,40,365,2.23,600
288428,3.583333333,Van Nuys,34.19,-118.48,1,65,358,2.42408377,191
288779,4,Harvard Heights,34.05,-118.31,3,35,365,2.23,600
298259,3.529411765,Mar Vista,34,-118.45,0,155,247,2.067226891,119
299876,3.5,Echo Park,34.09,-118.25,0,106,208,2.333333333,93
300311,4.333333333,Harvard Heights,34.05,-118.31,1,65,365,2.23,600
300343,3,Arlington Heights,34.05,-118.31,1,65,365,2.23,600
300476,3.1,Venice,34,-118.46,1,50,364,2.245454545,220
305478,3.857142857,Mid-City,34.04,-118.33,0,95,137,2.430851064,188
308524,3.875,Silver Lake,34.09,-118.28,0,125,76,2.116,250
311176,3,Leimert Park,34.01,-118.33,0,150,353,2.313868613,274
336043,3,Atwater Village,34.12,-118.26,0,170,6,2.46875,64
345502,3,Mid-City,34.05,-118.36,0,89,262,2.330935252,139
347955,4.25,Hancock Park,34.08,-118.33,0,125,346,2.121212121,132
358575,4,Echo Park,34.09,-118.25,0,171,260,2.333333333,93
361703,3.421052632,West Hollywood,34.09,-118.38,1,75,350,2.09375,32
366764,3,Inglewood,33.98,-118.36,1,100,364,3,10
374590,4,Silver Lake,34.09,-118.27,0,343,321,2.147928994,169
379471,3.533333333,Fairfax,34.08,-118.36,0,416,108,2.344370861,453
393966,3.555555556,Downtown,34.05,-118.24,1,58,207,2.36643026,846
394508,3.5,Hollywood,34.1,-118.33,0,135,300,2.32360515,1165
